Date,Regulation Title,Regulatory Body,Description,Impact,Litigation Risk,Corporate Governance,Proprietary Costs,Information Asymmetry,Unsophisticated Investors,Equity Issuance,Reputation Risk,References,Year,UpdatedLink,,
1/1/2010,Securities Market Code  France,Autorité des Marchés Financiers AMF,Consolidated securities regulation incorporating EU directives,"Harmonized securities regulation, enhanced market integrity, improved investor protection",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.amffrance.org/en/regulation/policy/doc201916,2010,https://www.amf-france.org/sites/institutionnel/files/private/2021-03/RG_EN_20121001_20121010.pdf,, 
11/1/2009,Financial Market Supervision Act  Switzerland,Swiss Financial Market Supervisory Authority FINMA,Comprehensive financial market regulation and supervision framework,"Enhanced regulatory oversight, improved market integrity, strengthened enforcement",Yes,Yes,No,Yes,Yes,Yes,Yes,https://www.finma.ch/en/~/media/finma/dokumente/dokumentencenter/myfinma/1bewilligung/fintech/wegleitungbewilligungspraxisfintech.pdf,2009,https://www.fedlex.admin.ch/eli/cc/2008/736/en,, 
5/1/2009,Securities Law  Cambodia,Securities and Exchange Regulator of Cambodia SERC,"Comprehensive securities legislation governing securities offerings, investment services, disclosure requirements, and market conduct rules","Enhanced securities market development, improved investor protection, strengthened regulatory framework for securities transactions",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.serc.gov.kh/english/laws_regulations.php,2009,https://www.serc.gov.kh/boards/data_dir/m23Prakas_k/100030_1.pdf,, 
1/1/2009,Securities Industry Act  Trinidad and Tobago,Trinidad and Tobago Securities and Exchange Commission TTSEC,"Securities law establishing requirements for securities offerings, registration of market participants, disclosure obligations, and investor protection measures","Enhanced securities market regulation, improved transparency in securities transactions, strengthened regulatory oversight",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.ttsec.org.tt/portals/0/Documents/Legislation/Securities%20Industry%20Act%202012.pdf,2009,https://attic.org.tt/wp-content/uploads/2022/12/The-Securities-Act-2012.pdf,, 
11/1/2008,Securities Exchange Act  Nepal,Securities Board of Nepal SEBON,"Comprehensive securities legislation governing public offerings, securities trading, disclosure obligations, and regulation of capital market participants","Enhanced securities market infrastructure, improved investor protection, strengthened regulatory framework for securities transactions",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.sebon.gov.np/uploads/files/Securities%20Act%202063.pdf,2008,https://www.sebon.gov.np/uploads/uploads/b5tK7DoS3x07ETX7Z8NnHVIun0lM6C8LlSo0S67L.pdf,, 
7/1/2008,Securities Market Act  Namibia,Namibia Financial Institutions Supervisory Authority NAMFISA,"Securities law establishing requirements for securities offerings, market operations, disclosure obligations, and regulation of securities service providers","Enhanced securities market regulation, improved transparency in securities transactions, strengthened regulatory oversight",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.namfisa.com.na/page/securitiesact/,2008,https://www.namfisa.com.na/regulations/regulation-15-28/,, 
1/1/2008,Capital Markets Act  Spain,Comisión Nacional del Mercado de Valores CNMV,Comprehensive securities market regulation incorporating EU directives,"Enhanced market integrity, improved investor protection, strengthened supervision",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.cnmv.es/DocPortal/Legislacion/en/ley_mercado_valores_ingles.pdf,2008,https://www.cnmv.es/DocPortal/Welcome/Complilation_of_relevant_legislation.pdf,, 
11/1/2007,Markets in Financial Instruments Directive MiFID  European Union,European Securities and Markets Authority ESMA,"Comprehensive framework for investment services and regulated markets across EU member states, establishing conduct of business rules and transparency requirements","Harmonized investment services regulation across EU, increased investor protection, enhanced market transparency",Yes,Yes,No,Yes,Yes,Yes,Yes,https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=celex%3A32004L0039,2007,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:02007L0014-20131126,, 
11/1/2007,Markets in Financial Instruments Directive  Italy,Commissione Nazionale per le Società e la Borsa CONSOB,Implementation of MiFID requirements in Italian securities regulation,"Enhanced investor protection, improved market transparency, strengthened conduct rules",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.consob.it/web/consobanditsactivities/lawsandregulations/mifid2,2007,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2007-09-17;164,, 
8/1/2007,Financial Instruments and Exchange Act  Japan,Financial Services Agency FSA,Comprehensive securities regulation replacing previous Securities and Exchange Act,"Enhanced market integrity, improved investor protection, strengthened enforcement",Yes,Yes,No,Yes,Yes,Yes,Yes,https://www.fsa.go.jp/en/refer/legislation/fiel.pdf,2007,https://www.fsa.go.jp/en/news/2007/20071221/01.pdf,, 
4/1/2007,Securities and Exchange Ordinance  Bangladesh,Bangladesh Securities and Exchange Commission BSEC,"Comprehensive securities legislation governing securities offerings, investment services, disclosure requirements, and market conduct rules","Modernized securities regulation framework, enhanced investor protection, improved market integrity and transparency",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.sec.gov.bd/slaws/Securities_and_Exchange_Ordinance_1969.pdf,2007,https://sec.gov.bd/slaws/SEC_-_dealer-_broker-auth_repr-_Rules_2000-14Aug08.pdf,, 
1/1/2007,Securities and Exchange Act  Ghana,Securities and Exchange Commission SEC,"Comprehensive securities law establishing framework for public offerings, securities trading, market intermediaries, and mandatory disclosure requirements for listed companies","Created modern securities market infrastructure, enhanced investor protection through disclosure requirements, established regulatory oversight of securities transactions",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://sec.gov.gh/files/SecuritiesIndustryLaw2016Act929.pdf,2007,https://sec.gov.gh/wp-content/uploads/Securities-Industry-Laws/Securities_Industry_Act_2016_Act_929.pdf,, 
1/11/2006,Financial Services Law  Brazil,Comissão de Valores Mobiliários CVM,Comprehensive securities regulation and market development framework,"Enhanced market development, improved investor protection, strengthened supervision",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.cvm.gov.br/legislacao/instrucoes/inst400.html,2006,https://www.gov.br/cvm/pt-br/assuntos/noticias/2006,, 
1/1/2006,Capital Market Law  Lebanon,Capital Markets Authority CMA,"Comprehensive securities legislation governing public offerings, securities trading, disclosure obligations, and regulation of investment service providers","Established modern securities regulatory framework, enhanced market development, improved investor protection through disclosure requirements",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.cma.gov.lb/Subpage.aspx?pageid=9304,2006,https://www.cma.gov.lb/wp-content/uploads/2017/08/Law-No-706-Arabic.pdf,, 
10/27/2005,Securities Law  China,China Securities Regulatory Commission CSRC,Comprehensive securities market regulation and investor protection,"Enhanced market development, improved investor protection, strengthened supervision",Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.csrc.gov.cn/pub/newsite/flb/flfg/bmgz/zh/gzlmfl/201012/t20101231_189040.html,2005,http://www.csrc.gov.cn/csrc_en/c102033/c1371261/content.shtml,, 
3/30/2005,National Instrument 31103 Registration Requirements  Canada,Canadian Securities Administrators CSA,Harmonized registration requirements for investment dealers and advisers across Canada,"Streamlined registration process, enhanced investor protection, improved regulatory efficiency",Yes,Yes,No,Yes,Yes,No,Yes,https://www.osc.ca/sites/default/files/pdfs/irps/csa_20050330_31103_registrationrequirements.pdf,2005,https://www.osc.ca/en/securities-law/instruments-rules-policies/3/33-506/amended-national-instrument-31-103-national-instrument-33-109-and-osc-rule-33-506,, 
3/1/2005,Securities Market Law  Myanmar,Securities and Exchange Commission of Myanmar SECM,"Securities law establishing requirements for securities offerings, market operations, disclosure obligations, and regulation of securities service providers","Established securities market framework, enhanced transparency in securities transactions, improved regulatory oversight",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.secm.gov.mm/en/laws/securitiesexchangelaw,2005,https://servicetrade.gov.mm/service/law-detail/The%20Securities%20Exchange%20Law,, 
12/1/2004,Securities Market Law  Kuwait,Capital Markets Authority CMA,"Securities law establishing requirements for securities offerings, market operations, disclosure obligations, and regulation of securities market participants","Enhanced securities market regulation, improved transparency in securities transactions, strengthened regulatory oversight",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.cma.gov.kw/en/web/cma/securitieslaw,2004,https://links.cisi.org/cisiweb2/docs/default-source/atp-portal/training-material/kuwait-rules-and-regulations/kuwait-rules-and-regulations-syllabus.pdf?sfvrsn=44a31002_4,, 
1/1/2004,Securities Industry Act  Brunei,Autoriti Monetari Brunei Darussalam AMBD,"Comprehensive securities legislation governing public offerings, securities trading, disclosure obligations, and regulation of capital market participants","Enhanced securities market infrastructure, improved transparency in securities offerings, strengthened investor protection mechanisms",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.ambd.gov.bn/SitePages/Securities%20Industry%20Act.aspx,2004,"https://www.agc.gov.bn/AGC%20Images/LAWS/BLUV/AUTORITI%20MONETARI%20BRUNEI%20DARUSSALAM%20ORDER,%202010.pdf",, 
1/1/2003,Securities Market Law  Pakistan,Securities and Exchange Commission of Pakistan SECP,"Securities law establishing requirements for securities offerings, market operations, disclosure obligations, and regulation of securities market participants","Enhanced securities market regulation, improved transparency in securities transactions, strengthened regulatory oversight",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.secp.gov.pk/document/securitiesact2015/,2003,https://www.secp.gov.pk/document/securities-act-2015/,, 
8/1/2002,Securities Market Law  Morocco,Moroccan Capital Market Authority AMMC,"Securities law establishing framework for securities offerings, trading, disclosure requirements, and regulation of investment service providers","Enhanced securities market development, improved transparency in securities transactions, strengthened investor protection mechanisms",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.ammc.ma/sites/default/files/Loi%204302%20version%20anglaise.pdf,2002,https://www.ammc.ma/sites/default/files/Loi%20n%C2%B0%2043-12.pdf,, 
1/30/2002,Sarbanes Oxley Equivalent  Canada National Instrument 52109,Canadian Securities Administrators CSA,Certification requirements for annual and interim filings by CEOs and CFOs,"Enhanced management accountability, improved financial reporting quality",Yes,Yes,No,Yes,Yes,No,Yes,https://www.osc.ca/sites/default/files/pdfs/irps/csa_20020130_52109_certdisclosure.pdf,2002,https://www.osc.ca/sites/default/files/pdfs/irps/cp_20020301_81-402_proposal.pdf,, 
